gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,transcript_id,cds_start,cds_length,tx_length,cds_end,minus_log10_p,is_MAPT,color,name
ENSG00000063015.19,7.185436923110249,-4.866690009496258,1.3736337552011846,-3.542931287957084,3.957057906557917e-4,0.4496207046326433,SEZ6,ENST00000317338.16,430,2985,4471,3414,3.402627594334791,FALSE,grey60,SEZ6
ENSG00000112038.17,5.991416970223767,-3.046675640870155,0.9540769294063317,-3.1933228306504904,0.0014064561318446393,0.5384843626905387,OPRM1,ENST00000434900.6,519,1482,2033,2000,2.851873809175935,FALSE,grey60,OPRM1
ENSG00000054356.13,16.047908856265625,-2.492393073715468,0.6395105094753201,-3.8973449799289877,9.725303557204459e-5,0.24866700828953808,PTPRN,ENST00000295718.6,242,2940,3784,3181,4.012096834098774,FALSE,grey60,PTPRN
ENSG00000149295.13,7.88719074579015,-2.3277615864608663,0.723611545678658,-3.2168662873914124,0.0012959898383474047,0.5384843626905387,DRD2,ENST00000362072.7,346,1332,2789,1677,2.887398403686838,FALSE,grey60,DRD2
ENSG00000199377.1,9.777894374862244,-2.0974156381997022,0.9887693101636648,-2.1212386111099364,0.033901727526501654,0.9999676128209719,NA,NA,NA,NA,NA,NA,1.4697781709381759,FALSE,grey60,NA
ENSG00000053438.9,42.65344479450842,-1.9056447110165913,0.9033575906096764,-2.109513143881894,0.03490031269216255,0.9999676128209719,NNAT,ENST00000062104.3,118,246,1297,363,1.4571706819269985,FALSE,grey60,
ENSG00000167178.15,56.413538065388366,-1.77012175784919,0.7141631419973304,-2.4785957910101817,0.013190068806880813,0.9220071974165089,ISLR2,ENST00000361742.7,770,2238,4817,3007,1.8797529389213594,FALSE,grey60,
ENSG00000187634.11,13.594269684298961,-1.7064856517242355,0.6194923491837571,-2.754651698237598,0.005875464570293416,0.7690031996980652,SAMD11,ENST00000342066.7,84,2046,2551,2129,2.2309577882327147,FALSE,grey60,
ENSG00000139438.5,13.108574290495442,-1.6726352435833025,0.9126630145025038,-1.8326975203383942,0.06684756626656099,0.9999676128209719,FAM222A,ENST00000538780.1,717,1359,3294,2075,1.1749143995649465,FALSE,grey60,
ENSG00000133019.11,20.279894573671765,-1.6061161807686364,0.4912403244309779,-3.2695120919258023,0.00107733132595655,0.5384843626905387,CHRM3,ENST00000255380.8,780,1773,8780,2552,2.967650711831352,FALSE,grey60,
ENSG00000130733.10,7.631976036164218,-1.5786545637677871,0.6614648308863222,-2.3866039282126112,0.01700480026962009,0.9220071974165089,YIPF2,ENST00000253031.6,128,951,2087,1078,1.7694284647198668,FALSE,grey60,
